출발시각,8:05,8:55,10:10,11:20,13:10,14:20,15:40,16:35,18:10,20:00
정류장,명지대,상공회의소,진입로,동부경찰서,용인시장,중앙공영주차장,진입로,이마트,제1공학관,제3공학관
걸리는 시간,0,4,2,4,3,2,1,3,5,3
